Date ,TrialType,TrialNumber,SubstrateType,UrchinType,UrchinNumber,UrchinCode,UrchinSize,Spine1,Spine2,Spine3,Spine4,Spine5,TagType/Nickname,Left(1)DidNotLeave(0),RawTimeLeftBrick(s),VideoSpeed (x),TimeToLeaveBrick_ modified (s),TimeToLeaveBrick_ modified (minutes),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Nonpit,1,Control-1_Sand-Nonpit1,8.2,11,11,12,13,14,White_circle,0,DNL,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Nonpit,2,Control-1_Sand-Nonpit2,6.9,10,9,10,12,12,Lightblue_circle,1,714,5,3570,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Nonpit,3,Control-1_Sand-Nonpit3,7.2,12,9,11,11,13,Purple_circle,1,627,5,3135,52.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Pit,1,Control-1_Sand-Pit1,7,8,10,10,9,6,Green_flower,1,,5,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Pit,2,Control-1_Sand-Pit2,6,4,4,4,5,5,Pink_flower,0,DNL,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Sand,Pit,3,Control-1_Sand-Pit3,7.4,8,11,9,12,10,Blue_flower,0,DNL,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Nonpit,1,Control-1_Mixed-Nonpit1,6.8,14,10,11,11,13,Lightpink_circle,0,DNL,5,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Nonpit,2,Control-1_Mixed-Nonpit2,6.8,13,14,13,12,11,Lightblue_circle,1,810,5,4050,67.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Nonpit,3,Control-1_Mixed-Nonpit3,5.3,7,8,8,8,10,Purple_circle,1,785,5,3925,65.41666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Pit,1,Control-1_Mixed-Pit1,5.3,9,10,9,8,9,Red_flower,1,165,5,825,13.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Pit,2,Control-1_Mixed-Pit2,4.4,6,6,5,6,6,Yellow_flower,1,1030,5,5150,85.83333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Mixed,Pit,3,Control-1_Mixed-Pit3,5.8,10,7,8,10,9,Green_flower,1,328,5,1640,27.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Nonpit,1,Control-1_Cobble-Nonpit1,6.8,10,9,12,11,11,White_circle,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Nonpit,2,Control-1_Cobble-Nonpit2,7.3,12,14,14,14,13,Lightblue_circle,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Nonpit,3,Control-1_Cobble-Nonpit3,6,7,9,9,10,10,Grey_circle,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Pit,1,Control-1_Cobble-Pit1,6.3,9,11,11,10,10,Pink_flower,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Pit,2,Control-1_Cobble-Pit2,5.4,11,9,7,9,10,Cream_flower,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,1,Cobble,Pit,3,Control-1_Cobble-Pit3,6.6,10,11,11,13,12,Blue_flower,1,900,1,900,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Nonpit,1,Control-2_Sand-Nonpit1,7.1,7,7,7,6,8,Orange_circle,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Nonpit,2,Control-2_Sand-Nonpit2,7.2,9,9,10,12,10,Blue_circle,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Nonpit,3,Control-2_Sand-Nonpit3,6,6,9,7,10,11,Purple_circle,1,231,15,3465,57.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Pit,1,Control-2_Sand-Pit1,7,9,5,9,9,7,Green_flower,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Pit,2,Control-2_Sand-Pit2,6.4,11,11,10,10,12,White_flower,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Sand,Pit,3,Control-2_Sand-Pit3,5.6,7,7,6,9,11,Orange_flower,1,38,15,570,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,1,Control-2_Mixed-Nonpit1,7.3,10,8,9,10,10,Purple_circle,0,DNL,15,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,2,Control-2_Mixed-Nonpit2,6.1,9,10,7,9,7,Blue_circle,1,63,15,945,15.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Nonpit,3,Control-2_Mixed-Nonpit3,6.1,5,8,8,8,7,Orange_circle,1,75,15,1125,18.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,1,Control-2_Mixed-Pit1,6.6,10,10,10,10,9,Purple_flower,1,175,15,2625,43.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,2,Control-2_Mixed-Pit2,5.9,11,8,8,8,10,Red_flower,1,56,15,840,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Mixed,Pit,3,Control-2_Mixed-Pit3,6,6,7,6,6,6,Yellow_flower,1,48,15,720,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Nonpit,1,Control-2_Cobble-Nonpit1,6.3,8,7,9,7,9,Lightblue_circle,1,9,15,135,2.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Nonpit,2,Control-2_Cobble-Nonpit2,6.3,9,10,10,10,9,Grey_circle,1,250,15,3750,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Nonpit,3,Control-2_Cobble-Nonpit3,7,7,7,8,9,7,Purple_circle,1,422,15,6330,105.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Pit,1,Control-2_Cobble-Pit1,5.1,8,9,10,10,7,Pink_flower,1,518,15,7770,129.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Pit,2,Control-2_Cobble-Pit2,6.5,9,9,8,9,9,Blue_flower,1,292,15,4380,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/13/2024,Control,2,Cobble,Pit,3,Control-2_Cobble-Pit3,6,10,7,9,9,10,Green_flower,1,483,15,7245,120.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Nonpit,1,Kelp-1_Sand-Nonpit1,5.8,9,8,9,10,9,Purple_circle,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Nonpit,2,Kelp-1_Sand-Nonpit2,6.7,10,12,10,11,12,Grey_circle,1,124,30,3720,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Nonpit,3,Kelp-1_Sand-Nonpit3,5.7,7,9,8,9,9,Peach_circle,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Pit,1,Kelp-1_Sand-Pit1,6,10,12,10,12,10,Yellow_flower,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Pit,2,Kelp-1_Sand-Pit2,6.5,13,12,13,11,10,Green_flower,1,217,30,6510,108.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Sand,Pit,3,Kelp-1_Sand-Pit3,6.5,12,12,12,14,12,Pink_flower,1,119,30,3570,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Mixed,Nonpit,1,Kelp-1_Mixed-Nonpit1,6.1,9,9,11,10,10,Purple_circle,1,42,30,1260,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Mixed,Nonpit,2,Kelp-1_Mixed-Nonpit2,6.2,11,9,11,11,9,Peach_circle,1,48,30,1440,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Mixed,Nonpit,3,Kelp-1_Mixed-Nonpit3,7.5,11,11,10,11,12,Blue_circle,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Mixed,Pit,1,Kelp-1_Mixed-Pit1,6,10,9,11,12,10,Red_flower,1,38,30,1140,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Mixed,Pit,2,Kelp-1_Mixed-Pit2,6.2,9,9,11,11,11,Blue_flower,1,11,30,330,5.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Mixed,Pit,3,Kelp-1_Mixed-Pit3,6.2,9,9,7,9,8,Cream_flower,1,21,30,630,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Cobble,Nonpit,1,Kelp-1_Cobble-Nonpit1,7.1,13,12,11,11,14,Purple_circle,1,88,30,2640,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Cobble,Nonpit,2,Kelp-1_Cobble-Nonpit2,6.8,9,10,11,11,13,Cream_circle,1,5,30,150,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Cobble,Nonpit,3,Kelp-1_Cobble-Nonpit3,7,11,10,12,10,11,Blue_circle,1,1,30,30,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Cobble,Pit,1,Kelp-1_Cobble-Pit1,5.9,13,10,10,10,11,Lightpink_flower,1,26,30,780,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Cobble,Pit,2,Kelp-1_Cobble-Pit2,5.5,13,12,11,12,15,Blue_flower,1,18,30,540,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,1,Cobble,Pit,3,Kelp-1_Cobble-Pit3,5.6,8,7,7,8,6,Green_flower,1,57,30,1710,28.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Sand,Nonpit,1,Kelp-2_Sand-Nonpit1,6,12,10,12,12,10,Lightpink_circle,1,19,30,570,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Sand,Nonpit,2,Kelp-2_Sand-Nonpit2,5,8,7,7,6,6,Blue_circle,1,34,30,1020,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Sand,Nonpit,3,Kelp-2_Sand-Nonpit3,6.3,9,7,10,9,8,Purple_circle,1,216,30,6480,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Sand,Pit,1,Kelp-2_Sand-Pit1,5.5,10,6,9,9,9,Orange_flower,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Sand,Pit,2,Kelp-2_Sand-Pit2,5.3,11,11,10,10,10,Yellow_flower,1,85,30,2550,42.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Sand,Pit,3,Kelp-2_Sand-Pit3,5.8,8,5,5,6,7,Purple_flower,0,DNL,30,NA,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Mixed,Nonpit,1,Kelp-2_Mixed-Nonpit1,6.1,8,8,6,6,6,Blue_circle,1,62,30,1860,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Mixed,Nonpit,2,Kelp-2_Mixed-Nonpit2,6.9,9,10,10,10,9,Cream_circle,1,9,30,270,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Mixed,Nonpit,3,Kelp-2_Mixed-Nonpit3,6.1,9,11,11,9,9,Peach_circle,1,20,30,600,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Mixed,Pit,1,Kelp-2_Mixed-Pit1,6.5,10,11,7,8,9,Pink_flower,1,17,30,510,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Mixed,Pit,2,Kelp-2_Mixed-Pit2,5.5,8,8,8,8,10,Green_flower,1,6,30,180,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Mixed,Pit,3,Kelp-2_Mixed-Pit3,5.7,9,8,9,9,9,Red_flower,1,26,30,780,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Cobble,Nonpit,1,Kelp-2_Cobble-Nonpit1,6.9,8,10,10,6,11,Purple_circle,1,43,30,1290,21.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Cobble,Nonpit,2,Kelp-2_Cobble-Nonpit2,7.9,11,10,9,13,14,Pink_circle,1,9,30,270,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Cobble,Nonpit,3,Kelp-2_Cobble-Nonpit3,6.4,6,6,8,8,8,Grey_circle,1,45,30,1350,22.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Cobble,Pit,1,Kelp-2_Cobble-Pit1,5.8,7,6,7,9,9,Red_flower,1,81,30,2430,40.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Cobble,Pit,2,Kelp-2_Cobble-Pit2,6.4,9,9,9,9,8,White_flower,1,8,30,240,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/14/2024,Kelp,2,Cobble,Pit,3,Kelp-2_Cobble-Pit3,6.3,12,11,12,11,9,Blue_flower,1,9,30,270,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
